bag,chamber,set,pre.weight,post.weight,decomposition,treatment,Acari,Araneae,Chilopoda,Coleoptera,Collembola,Diptera,Formicidae,Hymenoptera,Lepidoptera,Orthoptera,Psocoptera,Thysanoptera,eggs,unknown
48,5,C,0.9,0.73,0.188888889,MI,4,1,0,0,33,1,0,0,6,0,6,0,0,0
49,4,A,0.89,0.58,0.348314607,MI,2,0,0,0,13,0,0,0,5,0,13,1,8,0
50,4,B,0.9,0.64,0.288888889,MI,12,5,0,0,27,2,0,0,1,0,8,2,4,0
51,4,C,0.89,0.65,0.269662921,MI,5,2,0,0,27,0,0,0,5,0,6,0,6,0
52,3,A,0.9,0.64,0.288888889,MI,5,1,0,0,28,2,0,0,2,0,4,1,12,0
53,3,B,0.9,0.71,0.211111111,MI,4,1,0,0,35,0,0,0,2,0,2,2,0,0
54,3,C,0.89,0.69,0.224719101,MI,4,1,0,0,57,6,0,1,6,0,4,1,10,7
55,2,A,0.87,0.61,0.298850575,MI,14,0,0,0,31,3,0,0,3,0,1,0,0,0
56,2,B,0.88,0.69,0.215909091,MI,9,2,0,0,10,0,0,0,0,0,9,0,0,0
57,2,C,0.91,0.67,0.263736264,MI,13,3,0,0,21,1,0,0,0,0,3,0,0,3
58,1,A,0.88,0.66,0.25,MI,25,1,0,0,36,1,0,0,1,0,13,0,0,0
59,1,B,0.92,0.76,0.173913043,MI,5,0,0,0,1,0,0,0,5,0,0,0,0,0
60,1,C,0.9,0.71,0.211111111,MI,3,2,0,1,12,0,0,0,6,0,3,1,0,0
61,12,A,0.92,0.72,0.217391304,MA,11,1,0,2,10,2,0,0,3,0,25,0,13,0
62,12,B,0.92,0.75,0.184782609,MA,18,0,0,0,5,1,1,0,3,0,2,0,0,0
63,12,C,0.92,0.68,0.260869565,MA,36,2,0,0,18,0,0,1,8,0,10,0,0,0
64,10,A,0.92,0.75,0.184782609,MA,10,1,0,0,4,0,0,0,2,0,4,0,6,0
65,10,B,0.92,0.74,0.195652174,MA,20,1,0,0,2,1,0,0,2,0,9,0,5,0
66,10,C,0.88,0.53,0.397727273,MA,35,0,0,0,1,0,0,0,6,0,1,2,0,0
67,9,A,0.88,0.54,0.386363636,MA,10,0,0,0,6,0,1,0,4,0,1,0,0,0
68,9,B,0.87,0.58,0.333333333,MA,14,0,0,0,13,3,1,0,11,0,4,0,4,0
69,9,C,0.93,0.77,0.172043011,MA,2,0,0,0,7,1,0,1,16,0,7,0,6,0
70,8,A,0.88,0.6,0.318181818,MA,3,0,0,0,21,2,0,0,3,0,11,0,0,0
71,8,B,0.9,0.68,0.244444444,MA,25,1,0,0,24,0,0,0,19,0,11,3,0,0
72,8,C,0.87,0.6,0.310344828,MA,13,1,0,0,28,0,0,0,3,0,26,0,0,0
73,7,A,0.88,0.59,0.329545455,MA,9,0,0,0,10,3,0,0,1,0,1,0,0,0
74,7,B,0.87,0.64,0.264367816,MA,12,2,0,0,17,1,1,0,10,0,2,0,0,0
75,7,C,0.92,0.64,0.304347826,MA,4,0,0,0,10,1,4,3,1,0,3,0,0,0
76,5,A,0.9,0.66,0.266666667,MA,8,1,0,0,58,0,0,0,4,0,2,0,0,0
77,5,B,0.93,0.8,0.139784946,MA,2,0,0,0,2,0,0,0,3,0,7,0,0,0
78,5,C,0.89,0.64,0.280898876,MA,4,2,0,1,0,1,2,0,8,0,6,0,0,0
79,4,A,0.92,0.63,0.315217391,MA,5,1,0,0,21,0,0,0,3,0,14,1,4,0
80,4,B,0.88,0.62,0.295454545,MA,10,1,0,0,48,5,1,3,3,0,32,0,5,1
81,4,C,0.91,0.7,0.230769231,MA,8,1,0,0,52,0,1,0,16,0,7,3,0,0
82,3,A,0.91,0.73,0.197802198,MA,6,1,0,0,26,1,1,0,9,0,0,1,0,0
83,3,B,0.9,0.67,0.255555556,MA,8,1,0,0,89,3,0,0,0,0,7,1,0,0
84,3,C,0.87,0.61,0.298850575,MA,10,0,0,1,23,0,0,0,6,0,5,0,6,2
85,2,A,0.89,0.75,0.157303371,MA,6,1,0,0,12,0,0,0,5,0,0,0,0,0
86,2,B,0.9,0.57,0.366666667,MA,8,4,0,0,8,1,0,0,1,0,2,0,0,0
87,2,C,0.91,0.74,0.186813187,MA,2,4,0,0,11,1,3,0,14,0,0,0,0,1
88,1,A,0.92,0.74,0.195652174,MA,1,0,0,0,4,3,0,0,0,0,0,0,0,0
89,1,B,0.92,0.61,0.336956522,MA,9,1,0,0,24,0,0,0,6,1,7,0,0,1
90,1,C,0.94,0.78,0.170212766,MA,7,1,0,1,28,0,0,0,6,0,4,0,0,2
